Position,PlayerName,Team,Opponent,Salary,PPG
FLEX,Torrey Smith,Ravens,Bills,10800,14.3
WR,Andre Johnson,Texans,Seahawks,12100,16.9
FLEX,Andre Johnson,Texans,Seahawks,12100,16.9
WR,Jacoby Jones,Ravens,Bills,5000,5.4
FLEX,Jacoby Jones,Ravens,Bills,5000,5.4
WR,Michael Floyd,Cardinals,Buccaneers,7800,8.8
FLEX,Michael Floyd,Cardinals,Buccaneers,7800,8.8
WR,Kendall Wright,Titans,Jets,9200,11.5
FLEX,Kendall Wright,Titans,Jets,9200,11.5
WR,Alshon Jeffery,Bears,Lions,6950,8.8
FLEX,Alshon Jeffery,Bears,Lions,6950,8.8
WR,Stephen Hill,Jets,Titans,7400,13.4
FLEX,Stephen Hill,Jets,Titans,7400,13.4
WR,Ryan Broyles,Lions,Bears,7450,6.4
FLEX,Ryan Broyles,Lions,Bears,7450,6.4
WR,Rueben Randle,Giants,Chiefs,7050,8.5
FLEX,Rueben Randle,Giants,Chiefs,7050,8.5
WR,Mohamed Sanu,Bengals,Browns,7100,8.0
FLEX,Mohamed Sanu,Bengals,Browns,7100,8.0
WR,T.Y. Hilton,Colts,Jaguars,8100,8.9
FLEX,T.Y. Hilton,Colts,Jaguars,8100,8.9
WR,Jarius Wright,Vikings,Steelers,5000,3.2
FLEX,Jarius Wright,Vikings,Steelers,5000,3.2
WR,Keshawn Martin,Texans,Seahawks,5400,3.7
FLEX,Keshawn Martin,Texans,Seahawks,5400,3.7
WR,Marvin Jones,Bengals,Browns,5000,7.5
FLEX,Marvin Jones,Bengals,Browns,5000,7.5
WR,Rod Streater,Raiders,Redskins,6900,9.1
FLEX,Rod Streater,Raiders,Redskins,6900,9.1
WR,Josh Gordon,Browns,Bengals,11950,32.8
FLEX,Josh Gordon,Browns,Bengals,11950,32.8
WR,DeAndre Hopkins,Texans,Seahawks,10000,16.1
FLEX,DeAndre Hopkins,Texans,Seahawks,10000,16.1
WR,Cordarrelle Patterson,Vikings,Steelers,7050,6.1
FLEX,Cordarrelle Patterson,Vikings,Steelers,7050,6.1
WR,Justin Hunter,Titans,Jets,6250,10.4
FLEX,Justin Hunter,Titans,Jets,6250,10.4
WR,Robert Woods,Bills,Ravens,6700,9.1
FLEX,Robert Woods,Bills,Ravens,6700,9.1
WR,Ace Sanders,Jaguars,Colts,6000,6.8
FLEX,Ace Sanders,Jaguars,Colts,6000,6.8
WR,Aaron Dobson,Patriots,Falcons,8350,13.4
FLEX,Aaron Dobson,Patriots,Falcons,8350,13.4
WR,Terrance Williams,Cowboys,Chargers,5600,5.3
FLEX,Terrance Williams,Cowboys,Chargers,5600,5.3
WR,Keenan Allen,Chargers,Cowboys,5750,3.0
FLEX,Keenan Allen,Chargers,Cowboys,5750,3.0
WR,Kenbrell Thompkins,Patriots,Falcons,9350,11.3
FLEX,Kenbrell Thompkins,Patriots,Falcons,9350,11.3
WR,Marlon Brown,Ravens,Bills,7550,11.2
FLEX,Marlon Brown,Ravens,Bills,7550,11.2
